bookID,average_rating,num_pages,ratings_count,main_author,parent_publisher
1,4.57,652,2095690,J.K. Rowling,Scholastic
2,4.49,870,2153167,J.K. Rowling,Scholastic
4,4.42,352,6333,J.K. Rowling,Scholastic
5,4.56,435,2339585,J.K. Rowling,Scholastic
8,4.78,2690,41428,J.K. Rowling,Scholastic
9,3.74,152,19,W. Frederick Zimmerman,Nimble
10,4.73,3342,28242,J.K. Rowling,Scholastic
12,4.38,815,3628,Douglas Adams,Gramercy
13,4.38,815,249558,Douglas Adams,Del
14,4.22,215,4930,Douglas Adams,Crown
18,4.38,815,2877,Douglas Adams,Wings
21,4.21,544,248558,Bill Bryson,Broadway
22,3.44,55,7270,Bill Bryson,Broadway
23,3.87,256,2088,Bill Bryson,Broadway
24,4.07,335,72451,Bill Bryson,Broadway
25,3.9,304,49240,Bill Bryson,Broadway
26,3.83,299,45712,Bill Bryson,William
27,3.86,254,48701,Bill Bryson,William
28,3.91,324,80609,Bill Bryson,William
29,3.93,270,28489,Bill Bryson,William
30,4.59,1728,101233,J.R.R. Tolkien,Ballantine
31,4.5,1184,1710,J.R.R. Tolkien,Houghton
34,4.36,398,2128944,J.R.R. Tolkien,Houghton
35,4.5,1216,1618,J.R.R. Tolkien,Houghton
36,4.53,218,19822,Chris   Smith,Houghton
37,4.5,224,359,Jude Fisher,Houghton
45,3.84,558,1430,Dave Thomas,Pragmatic
50,3.72,208,270244,Gary Paulsen,Atheneum
51,4.0,48,36,Donna Ickes,acher
53,3.88,144,2067,Gary Paulsen,Delacorte
55,3.45,228,99,Dale Peck,New
57,3.76,304,167,Angela Knight,Changeling
58,3.6,256,978,Delia Sherman,Viking
59,4.06,137,4454,Patricia A. McKillip,Firebird
61,4.17,228,1176,Zilpha Keatley Snyder,iUniverse
63,3.55,339,301,Kate Horsley,Shambhala
66,3.98,369,345,Philippa Carr,Ivy
67,3.83,388,29686,Edward P. Jones,Amistad
69,3.83,576,22,Edward P. Jones,Harper
71,3.83,334,1456,Satyajit Das,FT
72,4.13,352,52,Mark Smylie,Archaia
74,4.42,416,562,John McPhee,Farrar
75,3.95,248,1630,John McPhee,Farrar
76,4.17,128,268,John McPhee,Farrar
77,4.24,288,3498,John McPhee,Farrar
78,4.34,720,3115,John McPhee,Farrar
79,4.22,448,5704,John McPhee,Farrar
80,3.92,160,698,John McPhee,Farrar
81,4.23,288,542,John McPhee,Farrar
83,4.23,208,1341,John McPhee,Farrar
85,3.75,81,1423,Wendy Wasserstein,Dramatists
86,3.84,249,2766,Wendy Wasserstein,Vintage
89,3.94,138,31,Heidi Hayes Jacobs,Routledge
90,3.77,128,62,Heidi Boyd,North
91,4.46,192,860,Heidi Baker,Chosen
92,3.68,108,77,Heidi Hayes Jacobs,Association
93,3.99,352,153317,Johanna Spyri,Kingfisher
94,3.25,192,55,Heidi Hayes Jacobs,ASCD
96,4.46,192,34,Rolland Baker,Sovereign
98,3.89,832,11797,Heidi Murkoff,Workman
99,3.82,123,34,Heidi Fleiss,One
100,3.78,128,78,Heidi Boyd,North
103,3.84,423,2785,Frank Herbert,Ace
105,3.91,436,38778,Frank Herbert,Ace
106,3.88,331,97494,Frank Herbert,Ace
107,4.01,592,784,Brian Herbert,or
109,3.86,480,272,Frank Herbert,Putnam
110,3.88,426,4789,Frank Herbert,or
117,3.86,471,45388,Frank Herbert,Ace
119,4.59,192,26153,Gary Russell,Houghton
122,4.35,544,69167,Bryce Courtenay,Ballantine
123,4.35,291,45,Bryce Courtenay,Delacorte
129,4.28,256,16,John C. Maxwell,omas
130,3.34,205,174,Dave Lakhani,Wiley
131,3.67,240,10,Louis E. Catron,Heinemann
132,3.48,336,76,Adam Ginsberg,William
133,3.5,386,111,Marsha Collier,Wiley
135,3.62,260,24,Chris Malta,McGraw-Hill
137,3.55,384,55,Marsha Collier,Wiley
139,3.39,391,22,Marsha Collier,Wiley
140,3.89,864,17,Marsha Collier,Wiley
141,3.84,873,166,Lucas Carlson,O'Reilly
142,4.12,240,50,Ruby Ann Boxcar,Citadel
144,4.08,206,13,Ruby Ann Boxcar,Citadel
147,3.48,514,64,Rob Orsini,O'Reilly
151,4.05,838,16643,Leo Tolstoy,Penguin
152,4.05,960,109420,Leo Tolstoy,Signet
153,4.05,837,2904,Leo Tolstoy,Penguin
154,3.85,80,16,Marianne Sturman,Cliffs
155,4.05,803,9564,Leo Tolstoy,Barnes
156,4.05,752,474,Leo Tolstoy,Dover
157,4.05,803,303,Leo Tolstoy,Barnes
159,2.99,360,411,Gloria Goldreich,Mira
160,4.19,128,1204,Anthony Thorlby,Cambridge
162,3.71,160,3429,Mulk Raj Anand,Penguin
163,3.95,367,2163,John Banville,Vintage
164,3.89,256,613,Eliot Ness,Buccaneer
165,3.82,320,308,Narendra Jadhav,Scribner
166,4.2,100,10,V.T. Rajshekar,Clarity
168,3.65,224,16,Vasant Moon,Rowman
171,3.4,216,10,Barry R. Cournoyer,Pearson
177,4.0,48,17,John Carratello,acher
180,4.01,360,1035,George Smoot,Harper
181,4.0,250,36,Madeleine L'Engle,EMC/Paradigm
182,3.6,32,15,Tara MacCarthy,aching
204,4.12,367,376,Cynthia Harrod-Eagles,Little
205,4.11,352,3086,Charles Todd,William
207,3.94,320,352,Ewan McGregor,Atria
208,3.6,331,9852,Daniel Abraham,or
213,3.9,244,821,Charles Willeford,Vintage
214,4.05,215,731,Charles Willeford,Vintage
216,3.94,191,2897,Charles Willeford,Vintage
230,3.89,144,98,Charles Willeford,Vintage
231,3.42,738,20888,Tom Wolfe,Picador
237,3.91,48,66,Edward Lear,Sterling
244,4.02,287,81,Quentin Blake,Puffin
245,4.22,217,981,Henry Miller,New
247,3.69,154,3381,Henry Miller,Grove
249,3.68,318,53206,Henry Miller,Grove
250,3.78,348,14872,Henry Miller,Grove
251,4.1,316,3261,Henry Miller,Grove
252,3.98,506,7805,Henry Miller,Grove
253,3.83,292,2699,Henry Miller,New
264,3.78,797,61640,Henry James,Penguin
269,3.78,635,392,Henry James,Barnes
